Day,Cumulative
1,27
2,27
3,27
4,44
5,44
6,59
7,59
8,59
9,59
10,59
11,59
12,59
13,59
14,60
15,60
16,61
17,61
18,66
19,83
20,219
21,239
22,392
23,534
24,631
25,897
26,1350
27,2023
28,2820
29,4587
30,6067
31,7823
32,9826
33,11946
34,14554
35,17372
36,20615
37,24522
38,28273
39,31491
40,34933
41,37552
42,40540
43,43105
44,45177
45,60328
46,64543
47,67103
48,69265
49,71332
50,73327
51,75191
52,75723
53,76719
54,77804
55,78812
56,79339
57,80132
58,80997
59,82106
60,83375
61,85223
62,87042
63,89121
64,90943
65,93193
66,95464
67,98442
68,102524
69,106488
70,110633
71,115331
72,120250
73,127785
74,136806
75,146675
76,158808
77,171165
78,184905
79,201363
80,221172
81,251542
82,282895
83,316942
84,350942
85,393837
86,434723
87,486947
88,547297
89,611632
90,674897
91,732707
92,796268
93,868867
94,945624
95,1022366
96,1103314
97,1188306
98,1257241
99,1329576
100,1404566
101,1489045
102,1574850
103,1664170
104,1744940
105,1816194
106,1882211
107,1958813
108,2038561
109,2121523
110,2203417
111,2283158
112,2355301
113,2431261
114,2516991
115,2583279
116,2660713
117,2734478
118,2835026
119,2918082
120,2983864
121,3055429
122,3133235
123,3217821
124,3309563
125,3390732
126,3469241
127,3546407
128,3625591
129,3715415
130,3809600
131,3899742
132,3989897
133,4066886
134,4137916
135,4223703
136,4309653
137,4406318
138,4504351
139,4598547
140,4679764
141,4766900
142,4861975
143,4961338
144,5069262
145,5175836
146,5276942
147,5371158
148,5460254
149,5556124
150,5658707
151,5777512
152,5900530
153,6028326
154,6136294
155,6236775
156,6349294
157,6475978
158,6603647
159,6706002
