Day,Cumulative
1,167
2,219
3,264
4,306
5,350
6,386
8,456
9,487
10,1323
11,1408
12,1485
13,1550
15,1622
16,1804
17,2223
18,2270
19,2353
20,2416
22,2601
23,2671
24,2722
25,2781
26,2890
27,2960
29,3169
30,3235
31,3293
32,3389
33,3547
34,3547
36,3861
37,3947
38,4288
39,4435
40,4645
41,4832
43,5046
44,5458
45,5659
46,5861
47,6050
48,6230
50,6579
51,6723
52,6899
53,7049
54,7179
55,7292
57,7441
58,7542
59,7622
60,7693
61,7733
62,7755
64,7858
65,7913
66,7950
67,8046
68,8111
69,8135
71,8196
72,8215
73,8240
74,8295
75,8311
76,8354
78,8379
79,8393
80,8397
81,8398
82,8399
85,8416
86,8425
87,8430
88,8440
89,8449
92,8455
93,8459
94,8460
95,8457
96,8456
99,8454
100,8453
101,8455
102,8451
103,8445
106,8447
107,8440
108,8437
109,8434
110,8434
113,8434
114,8431
115,8431
116,8432
117,8432
