Entity,Code,Date,pop
Afghanistan,AFG,2019-12-31,0
Afghanistan,AFG,2020-01-01,0
Afghanistan,AFG,2020-01-02,0
Afghanistan,AFG,2020-01-03,0
Afghanistan,AFG,2020-01-04,0
Afghanistan,AFG,2020-01-05,0
Afghanistan,AFG,2020-01-06,0
Afghanistan,AFG,2020-01-07,0
Afghanistan,AFG,2020-01-08,0
Afghanistan,AFG,2020-01-09,0
Afghanistan,AFG,2020-01-10,0
Afghanistan,AFG,2020-01-11,0
Afghanistan,AFG,2020-01-12,0
Afghanistan,AFG,2020-01-13,0
Afghanistan,AFG,2020-01-14,0
Afghanistan,AFG,2020-01-15,0
Afghanistan,AFG,2020-01-16,0
Afghanistan,AFG,2020-01-17,0
Afghanistan,AFG,2020-01-18,0
Afghanistan,AFG,2020-01-19,0
Afghanistan,AFG,2020-01-20,0
Afghanistan,AFG,2020-01-21,0
Afghanistan,AFG,2020-01-22,0
Afghanistan,AFG,2020-01-23,0
Afghanistan,AFG,2020-01-24,0
Afghanistan,AFG,2020-01-25,0
Afghanistan,AFG,2020-01-26,0
Afghanistan,AFG,2020-01-27,0
Afghanistan,AFG,2020-01-28,0
Afghanistan,AFG,2020-01-29,0
Afghanistan,AFG,2020-01-30,0
Afghanistan,AFG,2020-01-31,0
Afghanistan,AFG,2020-02-01,0
Afghanistan,AFG,2020-02-02,0
Afghanistan,AFG,2020-02-03,0
Afghanistan,AFG,2020-02-04,0
Afghanistan,AFG,2020-02-05,0
Afghanistan,AFG,2020-02-06,0
Afghanistan,AFG,2020-02-07,0
Afghanistan,AFG,2020-02-08,0
Afghanistan,AFG,2020-02-09,0
Afghanistan,AFG,2020-02-10,0
Afghanistan,AFG,2020-02-11,0
Afghanistan,AFG,2020-02-12,0
Afghanistan,AFG,2020-02-13,0
Afghanistan,AFG,2020-02-14,0
Afghanistan,AFG,2020-02-15,0
Afghanistan,AFG,2020-02-16,0
Afghanistan,AFG,2020-02-17,0
Afghanistan,AFG,2020-02-18,0
Afghanistan,AFG,2020-02-19,0
Afghanistan,AFG,2020-02-20,0
Afghanistan,AFG,2020-02-21,0
Afghanistan,AFG,2020-02-22,0
Afghanistan,AFG,2020-02-23,0
Afghanistan,AFG,2020-02-24,0
Afghanistan,AFG,2020-02-25,1
Afghanistan,AFG,2020-02-26,1
Afghanistan,AFG,2020-02-27,1
Afghanistan,AFG,2020-02-28,1
Afghanistan,AFG,2020-02-29,1
Afghanistan,AFG,2020-03-01,1
Afghanistan,AFG,2020-03-02,1
Afghanistan,AFG,2020-03-08,4
Afghanistan,AFG,2020-03-11,7
Afghanistan,AFG,2020-03-15,10
Afghanistan,AFG,2020-03-16,16
Afghanistan,AFG,2020-03-17,21
Afghanistan,AFG,2020-03-18,22
Afghanistan,AFG,2020-03-19,22
Afghanistan,AFG,2020-03-20,22
Afghanistan,AFG,2020-03-21,24
Afghanistan,AFG,2020-03-22,24
Afghanistan,AFG,2020-03-23,34
Afghanistan,AFG,2020-03-24,40
Afghanistan,AFG,2020-03-25,42
Afghanistan,AFG,2020-03-26,75
Afghanistan,AFG,2020-03-27,75
Afghanistan,AFG,2020-03-28,91
Afghanistan,AFG,2020-03-29,106
Afghanistan,AFG,2020-03-30,114
Afghanistan,AFG,2020-03-31,141
Afghanistan,AFG,2020-04-01,166
Afghanistan,AFG,2020-04-02,192
Afghanistan,AFG,2020-04-03,235
Afghanistan,AFG,2020-04-04,235
Afghanistan,AFG,2020-04-05,270
Afghanistan,AFG,2020-04-06,299
Afghanistan,AFG,2020-04-07,337
Afghanistan,AFG,2020-04-08,367
Afghanistan,AFG,2020-04-09,423
Afghanistan,AFG,2020-04-10,484
Afghanistan,AFG,2020-04-11,521
Afghanistan,AFG,2020-04-12,555
Afghanistan,AFG,2020-04-13,607
Afghanistan,AFG,2020-04-14,665
Afghanistan,AFG,2020-04-15,714
Afghanistan,AFG,2020-04-16,784
Afghanistan,AFG,2020-04-17,794
Afghanistan,AFG,2020-04-18,845
Afghanistan,AFG,2020-04-19,908
Afghanistan,AFG,2020-04-20,996
Afghanistan,AFG,2020-04-21,1031
Afghanistan,AFG,2020-04-22,1092
Afghanistan,AFG,2020-04-23,1176
Afghanistan,AFG,2020-04-24,1281
Afghanistan,AFG,2020-04-25,1351
Afghanistan,AFG,2020-04-26,1463
Afghanistan,AFG,2020-04-27,1531
Afghanistan,AFG,2020-04-28,1703
Afghanistan,AFG,2020-04-29,1827
Afghanistan,AFG,2020-04-30,1949
Afghanistan,AFG,2020-05-01,2171
Afghanistan,AFG,2020-05-02,2335
Afghanistan,AFG,2020-05-03,2469
Afghanistan,AFG,2020-05-04,2704
Afghanistan,AFG,2020-05-05,2894
Afghanistan,AFG,2020-05-06,3224
Afghanistan,AFG,2020-05-07,3392
Afghanistan,AFG,2020-05-08,3563
Afghanistan,AFG,2020-05-09,3778
Afghanistan,AFG,2020-05-10,4033
Afghanistan,AFG,2020-05-11,4402
Afghanistan,AFG,2020-05-12,4687
Afghanistan,AFG,2020-05-13,4967
Afghanistan,AFG,2020-05-14,5226
Afghanistan,AFG,2020-05-15,5339
Afghanistan,AFG,2020-05-16,6402
Afghanistan,AFG,2020-05-17,6402
Afghanistan,AFG,2020-05-18,6664
Afghanistan,AFG,2020-05-19,7072
Afghanistan,AFG,2020-05-20,7653
Afghanistan,AFG,2020-05-21,8145
Afghanistan,AFG,2020-05-22,8676
Afghanistan,AFG,2020-05-23,9216
Afghanistan,AFG,2020-05-24,9998
Afghanistan,AFG,2020-05-25,10582
Afghanistan,AFG,2020-05-26,11173
Afghanistan,AFG,2020-05-27,11831
Afghanistan,AFG,2020-05-28,12456
Afghanistan,AFG,2020-05-29,13036
Afghanistan,AFG,2020-05-30,13659
Afghanistan,AFG,2020-05-31,14525
Afghanistan,AFG,2020-06-01,15205
Afghanistan,AFG,2020-06-02,15750
Afghanistan,AFG,2020-06-03,16509
Afghanistan,AFG,2020-06-04,17267
Afghanistan,AFG,2020-06-05,18054
Afghanistan,AFG,2020-06-06,18969
Albania,ALB,2020-03-09,2
Albania,ALB,2020-03-10,6
Albania,ALB,2020-03-11,10
Albania,ALB,2020-03-12,11
Albania,ALB,2020-03-13,23
Albania,ALB,2020-03-14,33
Albania,ALB,2020-03-15,38
Albania,ALB,2020-03-16,42
Albania,ALB,2020-03-17,51
Albania,ALB,2020-03-18,55
Albania,ALB,2020-03-19,59
Albania,ALB,2020-03-20,70
Albania,ALB,2020-03-21,70
Albania,ALB,2020-03-22,76
Albania,ALB,2020-03-23,89
Albania,ALB,2020-03-24,100
Albania,ALB,2020-03-25,123
Albania,ALB,2020-03-26,146
Albania,ALB,2020-03-27,174
Albania,ALB,2020-03-28,186
Albania,ALB,2020-03-29,197
Albania,ALB,2020-03-30,212
Albania,ALB,2020-03-31,223
Albania,ALB,2020-04-01,243
Albania,ALB,2020-04-02,259
Albania,ALB,2020-04-03,277
Albania,ALB,2020-04-04,304
Albania,ALB,2020-04-05,333
Albania,ALB,2020-04-06,361
Albania,ALB,2020-04-07,377
Albania,ALB,2020-04-08,383
Albania,ALB,2020-04-09,400
Albania,ALB,2020-04-10,409
Albania,ALB,2020-04-11,416
Albania,ALB,2020-04-12,433
Albania,ALB,2020-04-13,446
Albania,ALB,2020-04-14,467
Albania,ALB,2020-04-15,475
Albania,ALB,2020-04-16,494
Albania,ALB,2020-04-17,518
Albania,ALB,2020-04-18,539
Albania,ALB,2020-04-19,548
Albania,ALB,2020-04-20,562
Albania,ALB,2020-04-21,584
Albania,ALB,2020-04-22,609
Albania,ALB,2020-04-23,634
Albania,ALB,2020-04-24,663
Albania,ALB,2020-04-25,678
Albania,ALB,2020-04-26,712
Albania,ALB,2020-04-27,726
Albania,ALB,2020-04-28,736
Albania,ALB,2020-04-29,750
Albania,ALB,2020-04-30,766
Albania,ALB,2020-05-01,773
Albania,ALB,2020-05-02,782
Albania,ALB,2020-05-03,789
Albania,ALB,2020-05-04,795
Albania,ALB,2020-05-05,803
Albania,ALB,2020-05-06,820
Albania,ALB,2020-05-07,832
Albania,ALB,2020-05-08,842
Albania,ALB,2020-05-09,850
Albania,ALB,2020-05-10,856
Albania,ALB,2020-05-11,868
Albania,ALB,2020-05-12,872
Albania,ALB,2020-05-13,876
Albania,ALB,2020-05-14,880
Albania,ALB,2020-05-15,898
Albania,ALB,2020-05-16,916
Albania,ALB,2020-05-17,933
Albania,ALB,2020-05-18,946
Albania,ALB,2020-05-19,948
