Entity,Code,Date,pop
Afghanistan,AFG,2020-02-25,1
Afghanistan,AFG,2020-02-26,1
Afghanistan,AFG,2020-02-27,1
Afghanistan,AFG,2020-02-28,1
Afghanistan,AFG,2020-02-29,1
Afghanistan,AFG,2020-03-01,1
Afghanistan,AFG,2020-03-02,1
Afghanistan,AFG,2020-03-08,4
Afghanistan,AFG,2020-03-11,7
Afghanistan,AFG,2020-03-15,10
Afghanistan,AFG,2020-03-16,16
Afghanistan,AFG,2020-03-17,21
Afghanistan,AFG,2020-03-18,22
Afghanistan,AFG,2020-03-19,22
Afghanistan,AFG,2020-03-20,22
Afghanistan,AFG,2020-03-21,24
Afghanistan,AFG,2020-03-22,24
Afghanistan,AFG,2020-03-23,34
Afghanistan,AFG,2020-03-24,40
Afghanistan,AFG,2020-03-25,42
Afghanistan,AFG,2020-03-26,75
Afghanistan,AFG,2020-03-27,75
Afghanistan,AFG,2020-03-28,91
Afghanistan,AFG,2020-03-29,106
Afghanistan,AFG,2020-03-30,114
Afghanistan,AFG,2020-03-31,141
Afghanistan,AFG,2020-04-01,166
Afghanistan,AFG,2020-04-02,192
Afghanistan,AFG,2020-04-03,235
Afghanistan,AFG,2020-04-04,235
Afghanistan,AFG,2020-04-05,270
Afghanistan,AFG,2020-04-06,299
Afghanistan,AFG,2020-04-07,337
Afghanistan,AFG,2020-04-08,367
Afghanistan,AFG,2020-04-09,423
Afghanistan,AFG,2020-04-10,484
Afghanistan,AFG,2020-04-11,521
Afghanistan,AFG,2020-04-12,555
Afghanistan,AFG,2020-04-13,607
Afghanistan,AFG,2020-04-14,665
Afghanistan,AFG,2020-04-15,714
Afghanistan,AFG,2020-04-16,784
Afghanistan,AFG,2020-04-17,794
Afghanistan,AFG,2020-04-18,845
Afghanistan,AFG,2020-04-19,908
Afghanistan,AFG,2020-04-20,996
Afghanistan,AFG,2020-04-21,1031
Afghanistan,AFG,2020-04-22,1092
Afghanistan,AFG,2020-04-23,1176
Afghanistan,AFG,2020-04-24,1281
Afghanistan,AFG,2020-04-25,1351
Afghanistan,AFG,2020-04-26,1463
Afghanistan,AFG,2020-04-27,1531
Afghanistan,AFG,2020-04-28,1703
Afghanistan,AFG,2020-04-29,1827
Albania,ALB,2020-03-09,2
Albania,ALB,2020-03-10,6
Albania,ALB,2020-03-11,10
Albania,ALB,2020-03-12,11
Albania,ALB,2020-03-13,23
Albania,ALB,2020-03-14,33
Albania,ALB,2020-03-15,38
Albania,ALB,2020-03-16,42
Albania,ALB,2020-03-17,51
Albania,ALB,2020-03-18,55
Albania,ALB,2020-03-19,59
Albania,ALB,2020-03-20,70
Albania,ALB,2020-03-21,70
Albania,ALB,2020-03-22,76
Albania,ALB,2020-03-23,89
Albania,ALB,2020-03-24,100
Albania,ALB,2020-03-25,123
Albania,ALB,2020-03-26,146
Albania,ALB,2020-03-27,174
Albania,ALB,2020-03-28,186
Albania,ALB,2020-03-29,197
Albania,ALB,2020-03-30,212
Albania,ALB,2020-03-31,223
Albania,ALB,2020-04-01,243
Albania,ALB,2020-04-02,259
Albania,ALB,2020-04-03,277
Albania,ALB,2020-04-04,304
Albania,ALB,2020-04-05,333
Albania,ALB,2020-04-06,361
Albania,ALB,2020-04-07,377
Albania,ALB,2020-04-08,383
Albania,ALB,2020-04-09,400
Albania,ALB,2020-04-10,409
Albania,ALB,2020-04-11,416
Albania,ALB,2020-04-12,433
Albania,ALB,2020-04-13,446
Albania,ALB,2020-04-14,467
Albania,ALB,2020-04-15,475
Albania,ALB,2020-04-16,494
Albania,ALB,2020-04-17,518
Albania,ALB,2020-04-18,539
Albania,ALB,2020-04-19,548
Albania,ALB,2020-04-20,562
Albania,ALB,2020-04-21,584
Albania,ALB,2020-04-22,609
Albania,ALB,2020-04-23,634
Albania,ALB,2020-04-24,663
Albania,ALB,2020-04-25,678
Albania,ALB,2020-04-26,712
Albania,ALB,2020-04-27,726
Albania,ALB,2020-04-28,736
Albania,ALB,2020-04-29,750
Algeria,DZA,2020-02-26,1
Algeria,DZA,2020-02-27,1
Algeria,DZA,2020-02-28,1
Algeria,DZA,2020-02-29,1
Algeria,DZA,2020-03-01,3
Algeria,DZA,2020-03-02,3
Algeria,DZA,2020-03-04,5
Algeria,DZA,2020-03-05,12
Algeria,DZA,2020-03-06,17
Algeria,DZA,2020-03-09,20
Algeria,DZA,2020-03-12,20
Algeria,DZA,2020-03-13,25
Algeria,DZA,2020-03-14,26
Algeria,DZA,2020-03-15,37
Algeria,DZA,2020-03-16,48
Algeria,DZA,2020-03-17,58
Algeria,DZA,2020-03-18,60
Algeria,DZA,2020-03-19,72
Algeria,DZA,2020-03-20,90
Algeria,DZA,2020-03-21,102
Algeria,DZA,2020-03-22,139
Algeria,DZA,2020-03-23,201
Algeria,DZA,2020-03-24,230
Algeria,DZA,2020-03-25,264
Algeria,DZA,2020-03-26,302
Algeria,DZA,2020-03-27,367
Algeria,DZA,2020-03-28,409
Algeria,DZA,2020-03-29,454
Algeria,DZA,2020-03-30,511
Algeria,DZA,2020-03-31,584
Algeria,DZA,2020-04-01,716
Algeria,DZA,2020-04-02,847
Algeria,DZA,2020-04-03,986
Algeria,DZA,2020-04-04,1171
Algeria,DZA,2020-04-05,1251
Algeria,DZA,2020-04-06,1320
Algeria,DZA,2020-04-07,1423
Algeria,DZA,2020-04-08,1468
Algeria,DZA,2020-04-09,1572
Algeria,DZA,2020-04-10,1666
Algeria,DZA,2020-04-11,1761
Algeria,DZA,2020-04-12,1825
Algeria,DZA,2020-04-13,1914
Algeria,DZA,2020-04-14,1983
Algeria,DZA,2020-04-15,2070
Algeria,DZA,2020-04-16,2160
Algeria,DZA,2020-04-17,2268
Algeria,DZA,2020-04-18,2418
Algeria,DZA,2020-04-19,2535
Algeria,DZA,2020-04-20,2629
Algeria,DZA,2020-04-21,2718
Algeria,DZA,2020-04-22,2811
Algeria,DZA,2020-04-23,2910
Algeria,DZA,2020-04-24,3007
Algeria,DZA,2020-04-25,3127
Algeria,DZA,2020-04-26,3256
Algeria,DZA,2020-04-27,3382
Algeria,DZA,2020-04-28,3517
Algeria,DZA,2020-04-29,3649
Andorra,AND,2020-03-03,1
Andorra,AND,2020-03-14,2
Andorra,AND,2020-03-16,5
Andorra,AND,2020-03-17,14
Andorra,AND,2020-03-18,14
Andorra,AND,2020-03-19,53
Andorra,AND,2020-03-20,75
Andorra,AND,2020-03-21,75
Andorra,AND,2020-03-22,88
Andorra,AND,2020-03-23,113
Andorra,AND,2020-03-24,133
Andorra,AND,2020-03-25,164
Andorra,AND,2020-03-26,188
Andorra,AND,2020-03-27,224
Andorra,AND,2020-03-28,267
Andorra,AND,2020-03-29,308
Andorra,AND,2020-03-30,334
Andorra,AND,2020-03-31,370
Andorra,AND,2020-04-01,376
Andorra,AND,2020-04-02,390
Andorra,AND,2020-04-03,428
Andorra,AND,2020-04-04,439
Andorra,AND,2020-04-05,466
Andorra,AND,2020-04-06,501
Andorra,AND,2020-04-07,526
Andorra,AND,2020-04-08,545
Andorra,AND,2020-04-09,564
Andorra,AND,2020-04-10,583
Andorra,AND,2020-04-11,601
Andorra,AND,2020-04-12,622
Andorra,AND,2020-04-13,638
Andorra,AND,2020-04-14,646
Andorra,AND,2020-04-15,659
Andorra,AND,2020-04-16,673
Andorra,AND,2020-04-17,682
Andorra,AND,2020-04-18,696
Andorra,AND,2020-04-19,704
Andorra,AND,2020-04-20,713
Andorra,AND,2020-04-21,717
Andorra,AND,2020-04-22,717
Andorra,AND,2020-04-23,723
Andorra,AND,2020-04-24,724
Andorra,AND,2020-04-25,731
Andorra,AND,2020-04-26,733
Andorra,AND,2020-04-27,740
Andorra,AND,2020-04-28,743
Andorra,AND,2020-04-29,748
Angola,AGO,2020-03-22,2
Angola,AGO,2020-03-23,2
Angola,AGO,2020-03-24,2
Angola,AGO,2020-03-25,2
Angola,AGO,2020-03-26,2
Angola,AGO,2020-03-27,3
Angola,AGO,2020-03-28,4
Angola,AGO,2020-03-29,4
Angola,AGO,2020-03-30,7
Angola,AGO,2020-03-31,7
Angola,AGO,2020-04-01,7
Angola,AGO,2020-04-02,8
Angola,AGO,2020-04-03,8
Angola,AGO,2020-04-04,8
Angola,AGO,2020-04-05,10
Angola,AGO,2020-04-06,14
Angola,AGO,2020-04-07,16
Angola,AGO,2020-04-08,17
Angola,AGO,2020-04-09,19
Angola,AGO,2020-04-10,19
Angola,AGO,2020-04-11,19
Angola,AGO,2020-04-12,19
Angola,AGO,2020-04-13,19
Angola,AGO,2020-04-14,19
Angola,AGO,2020-04-15,19
Angola,AGO,2020-04-16,19
Angola,AGO,2020-04-17,19
Angola,AGO,2020-04-18,19
Angola,AGO,2020-04-19,24
Angola,AGO,2020-04-20,24
Angola,AGO,2020-04-21,24
Angola,AGO,2020-04-22,24
Angola,AGO,2020-04-23,24
Angola,AGO,2020-04-24,25
Angola,AGO,2020-04-25,25
Angola,AGO,2020-04-26,25
Angola,AGO,2020-04-27,26
Angola,AGO,2020-04-28,27
Angola,AGO,2020-04-29,27
Anguilla,AIA,2020-03-27,2
Anguilla,AIA,2020-03-28,2
Anguilla,AIA,2020-03-29,2
Anguilla,AIA,2020-03-30,2
Anguilla,AIA,2020-03-31,2
Anguilla,AIA,2020-04-01,2
Anguilla,AIA,2020-04-02,2
Anguilla,AIA,2020-04-03,3
Anguilla,AIA,2020-04-04,3
Anguilla,AIA,2020-04-05,3
Anguilla,AIA,2020-04-06,3
Anguilla,AIA,2020-04-07,3
Anguilla,AIA,2020-04-08,3
Anguilla,AIA,2020-04-09,3
Anguilla,AIA,2020-04-10,3
Anguilla,AIA,2020-04-11,3
Anguilla,AIA,2020-04-12,3
Anguilla,AIA,2020-04-13,3
Anguilla,AIA,2020-04-14,3
Anguilla,AIA,2020-04-15,3
Anguilla,AIA,2020-04-16,3
Anguilla,AIA,2020-04-17,3
Anguilla,AIA,2020-04-18,3
Anguilla,AIA,2020-04-19,3
Anguilla,AIA,2020-04-20,3
Anguilla,AIA,2020-04-21,3
Anguilla,AIA,2020-04-22,3
Anguilla,AIA,2020-04-23,3
Anguilla,AIA,2020-04-24,3
Anguilla,AIA,2020-04-25,3
Anguilla,AIA,2020-04-26,3
Anguilla,AIA,2020-04-27,3
Anguilla,AIA,2020-04-28,3
Anguilla,AIA,2020-04-29,3
Antigua and Barbuda,ATG,2020-03-15,1
Antigua and Barbuda,ATG,2020-03-21,1
Antigua and Barbuda,ATG,2020-03-22,1
Antigua and Barbuda,ATG,2020-03-23,1
Antigua and Barbuda,ATG,2020-03-24,1
Antigua and Barbuda,ATG,2020-03-25,3
Antigua and Barbuda,ATG,2020-03-26,3
Antigua and Barbuda,ATG,2020-03-27,7
Antigua and Barbuda,ATG,2020-03-28,7
Antigua and Barbuda,ATG,2020-03-29,7
Antigua and Barbuda,ATG,2020-03-30,7
Antigua and Barbuda,ATG,2020-03-31,7
Antigua and Barbuda,ATG,2020-04-01,7
Antigua and Barbuda,ATG,2020-04-02,7
Antigua and Barbuda,ATG,2020-04-03,9
Antigua and Barbuda,ATG,2020-04-04,15
Antigua and Barbuda,ATG,2020-04-05,15
Antigua and Barbuda,ATG,2020-04-06,15
Antigua and Barbuda,ATG,2020-04-07,15
Antigua and Barbuda,ATG,2020-04-08,15
Antigua and Barbuda,ATG,2020-04-09,15
Antigua and Barbuda,ATG,2020-04-10,19
Antigua and Barbuda,ATG,2020-04-11,21
Antigua and Barbuda,ATG,2020-04-12,21
Antigua and Barbuda,ATG,2020-04-13,21
Antigua and Barbuda,ATG,2020-04-14,23
Antigua and Barbuda,ATG,2020-04-15,23
Antigua and Barbuda,ATG,2020-04-16,23
Antigua and Barbuda,ATG,2020-04-17,23
Antigua and Barbuda,ATG,2020-04-18,23
Antigua and Barbuda,ATG,2020-04-19,23
Antigua and Barbuda,ATG,2020-04-20,23
Antigua and Barbuda,ATG,2020-04-21,23
Antigua and Barbuda,ATG,2020-04-22,24
Antigua and Barbuda,ATG,2020-04-23,24
Antigua and Barbuda,ATG,2020-04-24,24
Antigua and Barbuda,ATG,2020-04-25,24
Antigua and Barbuda,ATG,2020-04-26,24
Antigua and Barbuda,ATG,2020-04-27,24
Antigua and Barbuda,ATG,2020-04-28,24
Antigua and Barbuda,ATG,2020-04-29,24
Argentina,ARG,2020-03-04,1
Argentina,ARG,2020-03-06,2
Argentina,ARG,2020-03-07,8
Argentina,ARG,2020-03-08,9
Argentina,ARG,2020-03-09,12
Argentina,ARG,2020-03-11,19
Argentina,ARG,2020-03-13,31
Argentina,ARG,2020-03-14,34
Argentina,ARG,2020-03-15,45
Argentina,ARG,2020-03-16,56
Argentina,ARG,2020-03-17,65
Argentina,ARG,2020-03-18,79
Argentina,ARG,2020-03-19,97
Argentina,ARG,2020-03-20,128
Argentina,ARG,2020-03-21,158
Argentina,ARG,2020-03-22,225
Argentina,ARG,2020-03-23,266
Argentina,ARG,2020-03-24,301
Argentina,ARG,2020-03-25,387
Argentina,ARG,2020-03-26,502
Argentina,ARG,2020-03-27,589
Argentina,ARG,2020-03-28,690
Argentina,ARG,2020-03-29,745
Argentina,ARG,2020-03-30,820
Argentina,ARG,2020-03-31,966
Argentina,ARG,2020-04-01,966
Argentina,ARG,2020-04-02,1133
Argentina,ARG,2020-04-03,1133
Argentina,ARG,2020-04-04,1265
Argentina,ARG,2020-04-05,1451
Argentina,ARG,2020-04-06,1554
Argentina,ARG,2020-04-07,1628
Argentina,ARG,2020-04-08,1715
Argentina,ARG,2020-04-09,1795
Argentina,ARG,2020-04-10,1894
Argentina,ARG,2020-04-11,1975
Argentina,ARG,2020-04-12,2137
Argentina,ARG,2020-04-13,2203
Argentina,ARG,2020-04-14,2272
Argentina,ARG,2020-04-15,2432
Argentina,ARG,2020-04-16,2432
Argentina,ARG,2020-04-17,2560
Argentina,ARG,2020-04-18,2658
Argentina,ARG,2020-04-19,2828
Argentina,ARG,2020-04-20,2930
Argentina,ARG,2020-04-21,3020
Argentina,ARG,2020-04-22,3132
Argentina,ARG,2020-04-23,3276
Argentina,ARG,2020-04-24,3423
Argentina,ARG,2020-04-25,3423
Argentina,ARG,2020-04-26,3767
Argentina,ARG,2020-04-27,3767
Argentina,ARG,2020-04-28,3990
Argentina,ARG,2020-04-29,4114
Armenia,ARM,2020-03-01,1
Armenia,ARM,2020-03-02,1
Armenia,ARM,2020-03-12,4
Armenia,ARM,2020-03-13,6
Armenia,ARM,2020-03-14,13
Armenia,ARM,2020-03-15,20
Armenia,ARM,2020-03-16,30
Armenia,ARM,2020-03-17,52
Armenia,ARM,2020-03-18,78
Armenia,ARM,2020-03-19,115
Armenia,ARM,2020-03-20,122
Armenia,ARM,2020-03-21,136
Armenia,ARM,2020-03-22,160
Armenia,ARM,2020-03-23,190
Armenia,ARM,2020-03-24,194
Armenia,ARM,2020-03-25,265
Armenia,ARM,2020-03-26,290
Armenia,ARM,2020-03-27,329
Armenia,ARM,2020-03-28,372
Armenia,ARM,2020-03-29,424
Armenia,ARM,2020-03-30,424
Armenia,ARM,2020-03-31,482
Armenia,ARM,2020-04-01,532
Armenia,ARM,2020-04-02,571
Armenia,ARM,2020-04-03,663
Armenia,ARM,2020-04-04,736
Armenia,ARM,2020-04-05,770
Armenia,ARM,2020-04-06,822
Armenia,ARM,2020-04-07,833
Armenia,ARM,2020-04-08,853
Armenia,ARM,2020-04-09,881
Armenia,ARM,2020-04-10,921
Armenia,ARM,2020-04-11,937
Armenia,ARM,2020-04-12,967
Armenia,ARM,2020-04-13,1013
Armenia,ARM,2020-04-14,1039
Armenia,ARM,2020-04-15,1111
Armenia,ARM,2020-04-16,1159
Armenia,ARM,2020-04-17,1201
Armenia,ARM,2020-04-18,1248
Armenia,ARM,2020-04-19,1291
Armenia,ARM,2020-04-20,1339
Armenia,ARM,2020-04-21,1401
Armenia,ARM,2020-04-22,1473
Armenia,ARM,2020-04-23,1523
Armenia,ARM,2020-04-24,1596
Armenia,ARM,2020-04-25,1677
Armenia,ARM,2020-04-26,1746
Armenia,ARM,2020-04-27,1808
Armenia,ARM,2020-04-28,1867
Armenia,ARM,2020-04-29,1932
Aruba,ABW,2020-03-13,2
Aruba,ABW,2020-03-20,4
Aruba,ABW,2020-03-24,12
Aruba,ABW,2020-03-25,17
Aruba,ABW,2020-03-26,19
Aruba,ABW,2020-03-27,28
Aruba,ABW,2020-03-28,28
Aruba,ABW,2020-03-29,28
Aruba,ABW,2020-03-30,50
Aruba,ABW,2020-04-01,55
Aruba,ABW,2020-04-02,55
Aruba,ABW,2020-04-03,60
Aruba,ABW,2020-04-04,62
Aruba,ABW,2020-04-05,64
Aruba,ABW,2020-04-06,64
Aruba,ABW,2020-04-07,71
Aruba,ABW,2020-04-08,74
Aruba,ABW,2020-04-09,77
Aruba,ABW,2020-04-10,82
